A,B,C,P,S
τοῦ,τοῦ,τοῦ,τοῦ,τοῦ
Χρυσοστόμου,Χρυσοστόμου,Χρυσοστόμου,Χρυσοστόμου,Χρυσοστόμου
Τοὺς,Τοὺς,Τοὺς,Τοὺς,Τοὺς
ἐν,ἐν,ἐν,ἐν,ἐν
τῇ,τῇ,τῇ,τῇ,τῇ
πόλει,πόλει,πόλει,πόλει,πόλει
"βλασφημοῦντας,","βλασφημοῦντας,","βλασφημοῦντας,","βλασφημοῦντας,","βλασφημοῦντας,"
σωφρόνιζε.,σωφρόνιζε.,σωφρόνιζε.,σωφρόνιζε.,σωφρόνιζε.
Κἂν,Κἂν,Κἂν,Κἂν,Κἂν
ἀκούσῃς,ἀκούσῃς,ἀκούσῃς,ἀκούσῃς,ἀκούσῃς
τινὸς,τινὸς,τινὸς,τινὸς,τινὸς
ἐν,ἐν,ἐν,ἐν,ἐν
ἀμφόδῳ,ἀμφόδῳ,ἀμφόδῳ,ἀμφόδῳ,ἀμφόδῳ
,ἢ,,ἢ,ἢ
,ἐν,,ἐν,ἐν
,ὁδῶ,,ὁδῶ,ὁδῶ
ἢ,ἢ,ἢ,ἢ,ἢ
ἐν,ἐν,ἐν,ἐν,ἐν
ἀγορᾷ,ἀγορᾷ,ἀγορᾷ,ἀγορᾷ,ἀγορᾷ
βλασφημοῦντος,βλασφημοῦντος,βλασφημοῦντος,βλασφημοῦντος,βλασφημοῦντος
τὸν,τὸν,τὸν,τὸν,τὸν
"Θεόν,","Θεόν,","Θεόν,","Θεόν,","Θεόν,"
"πρόσελθε,","πρόσελθε,","πρόσελθε,","πρόσελθε,","πρόσελθε,"
"ἐπιτίμησον,","ἐπιτίμησον,","ἐπιτίμησον,","ἐπιτίμησον,","ἐπιτίμησον,"
κἂν,κἂν,κἂν,κἂν,κἂν
πληγὰς,πληγὰς,πληγὰς,πληγὰς,πληγὰς
ἐπιθεῖναι,ἐπιθεῖναι,ἐπιθεῖναι,ἐπιθεῖναι,ἐπιθεῖναι
"δέῃ,","δέῃ,","δέῃ,","δέῃ,","δέῃ,"
μὴ,μὴ,μὴ,μὴ,μὴ
παραιτήσῃ,παραιτήσῃ,παραιτήσῃ,παραιτήσῃ,παρεστήση
ῥάπισον,ῥάπισον,ῥάπισον,ῥάπισον,ῥάπισον
αὐτοῦ,αὐτοῦ,αὐτοῦ,αὐτοῦ,αὐτοῦ
τὴν,τὴν,τὴν,τὴν,τὴν
"ὄψιν,","ὄψιν,","ὄψιν,","ὄψιν,","ὄψιν,"
σύντριψον,σύντριψον,σύντριψον,σύντριψον,σύντριψον
αὐτοῦ,αὐτοῦ,αὐτοῦ,αὐτοῦ,αὐτοῦ
τὸ,τὸ,τὸ,τὸ,τὸ
"στόμα,","στόμα,","στόμα,","στόμα,","στόμα,"
ἁγίασόν,ἁγίασόν,ἁγίασόν,ἁγίασόν,ἁγίασόν
σου,σου,σου,σου,σου
τὴν,τὴν,τὴν,τὴν,τὴν
χεῖρα,χεῖρα,χεῖρα,χεῖρα,χεῖρα
διὰ,διὰ,διὰ,διὰ,διὰ
τῆς,τῆς,τῆς,τῆς,τῆς
"πληγῆς,","πληγῆς,","πληγῆς,","πληγῆς,","πληγῆς,"
κἂν,κἂν,κἂν,κἂν,κἂν
ἐγκαλῶσι,ἐγκαλῶσι,ἐγκαλῶσι,ἐγκαλῶσι,ἐγκαλῶσι
"τινές,","τινές,","τινές,","τινές,","τινές,"
κὰν,κὰν,κὰν,κὰν,κὰν
εἰς,εἰς,εἰς,εἰς,εἰς
δικαστήριον,δικαστήριον,δικαστήριον,δικαστήριον,δικαστήριον
"ἕλκωσιν,","ἕλκωσιν,","ἕλκωσιν,","ἕλκωσιν,","ἕλκωσιν,"
ἀκολούθησον.,ἀκολούθησον.,ἀκολούθησον.,ἀκολούθησον.,ἀκολούθησον.
